date,result
2021-07-10,"17,27,30,35,42,47,34"
2021-07-07,"4,18,26,30,31,37,8"
2021-07-03,"29,30,36,38,44,45,25"
2021-06-30,"33,38,39,40,43,45,18"
2021-06-26,"10,14,21,22,35,44,13"
2021-06-23,"1,4,15,29,38,40,31"
2021-06-19,"10,14,33,40,42,45,8"
2021-06-16,"1,14,22,28,37,45,25"
2021-06-12,"5,10,17,22,29,36,25"
2021-06-09,"7,11,28,29,35,40,12"
2021-06-05,"10,16,17,24,26,42,35"
2021-06-02,"12,14,22,25,26,40,33"
2021-05-29,"9,15,28,34,39,46,26"
2021-05-26,"5,8,16,22,30,31,12"
2021-05-22,"1,5,12,23,45,46,41"
2021-05-19,"3,5,6,27,29,39,36"
2021-05-15,"2,8,15,31,37,44,3"
2021-05-12,"1,6,14,19,31,47,2"
2021-05-08,"2,4,14,21,41,42,28"
2021-05-05,"8,19,21,22,34,47,15"
2021-05-01,"1,4,16,23,26,35,31"
2021-04-28,"1,3,26,27,41,47,16"
2021-04-24,"5,11,16,41,43,47,14"
2021-04-21,"17,18,19,27,30,46,12"
2021-04-17,"18,21,27,29,34,47,46"
2021-04-14,"4,14,20,23,27,37,39"
2021-04-10,"4,11,18,21,33,35,16"
2021-04-07,"23,27,39,40,41,42,17"
2021-04-03,"15,17,23,32,35,45,46"
2021-03-31,"2,5,8,24,43,47,45"
2021-03-27,"5,9,13,34,37,40,26"
2021-03-24,"4,17,23,37,40,44,7"
2021-03-20,"4,27,37,43,44,46,32"
2021-03-17,"1,7,20,26,43,45,37"
2021-03-13,"2,5,7,10,24,46,38"
2021-03-10,"6,26,31,38,39,47,22"
2021-03-06,"3,14,17,18,38,47,46"
2021-03-03,"15,20,25,32,44,47,40"
2021-02-27,"15,29,34,38,40,43,14"
2021-02-24,"2,10,12,13,38,40,17"
2021-02-20,"16,27,34,35,37,45,28"
2021-02-17,"6,7,13,19,21,45,15"
2021-02-13,"11,12,21,30,35,38,36"
2021-02-10,"1,8,31,32,33,39,46"
2021-02-06,"1,9,22,34,41,43,20"
2021-02-03,"8,9,26,41,42,44,6"
2021-01-30,"7,17,21,28,38,41,23"
2021-01-27,"7,24,27,33,34,40,30"
2021-01-23,"5,11,15,19,33,40,8"
2021-01-20,"10,15,18,23,28,33,38"
2021-01-16,"12,17,22,32,38,39,40"
2021-01-13,"12,18,29,32,34,44,9"
2021-01-09,"10,17,42,43,45,47,37"
2021-01-06,"8,10,14,23,39,47,5"
2021-01-02,"3,6,18,26,42,47,1"
2020-12-30,"8,13,21,23,40,44,28"
2020-12-26,"22,23,24,28,32,41,44"
2020-12-23,"22,30,33,39,40,45,38"
2020-12-19,"9,14,16,28,33,38,22"
2020-12-16,"15,19,24,32,38,40,23"
2020-12-12,"3,8,10,18,22,30,31"
2020-12-09,"13,14,28,29,34,47,45"
2020-12-05,"3,8,10,20,43,44,40"
2020-12-02,"9,12,22,28,35,47,37"
2020-11-28,"5,6,16,18,45,47,41"
2020-11-25,"1,4,16,20,28,36,7"
2020-11-21,"6,19,21,27,28,36,32"
2020-11-18,"1,14,17,23,31,35,41"
2020-11-14,"2,14,28,33,44,47,37"
2020-11-11,"3,26,27,29,41,45,33"
2020-11-07,"14,26,27,35,38,45,39"
2020-11-04,"4,20,30,31,34,38,1"
2020-10-31,"20,34,36,37,46,47,27"
2020-10-28,"5,13,15,18,27,30,6"
2020-10-24,"1,6,18,29,31,42,12"
2020-10-21,"5,9,14,20,30,36,37"
2020-10-17,"3,5,12,21,22,39,30"
2020-10-14,"4,24,30,38,39,42,33"
2020-10-10,"3,5,16,22,28,41,43"
2020-10-07,"4,9,13,22,44,47,31"
2020-10-03,"9,12,15,20,23,26,1"
2020-09-30,"3,4,7,14,18,47,29"
2020-09-26,"5,7,8,13,18,25,26"
2020-09-23,"2,5,7,29,38,42,27"
2020-09-19,"12,14,16,21,40,47,18"
2020-09-16,"4,7,10,37,38,45,42"
2020-09-12,"6,15,16,28,31,41,37"
2020-09-09,"22,23,27,30,42,46,43"
2020-09-05,"1,23,25,42,43,46,19"
2020-09-02,"3,5,16,40,45,47,36"
2020-08-29,"5,9,12,30,34,39,26"
2020-08-26,"9,13,33,38,45,46,1"
2020-08-22,"4,5,12,15,16,31,23"
2020-08-19,"5,18,34,40,42,44,36"
2020-08-15,"3,7,18,36,40,42,16"
2020-08-12,"12,13,20,22,29,34,31"
2020-08-08,"21,28,32,33,43,47,40"
2020-08-05,"10,14,25,36,38,47,2"
2020-08-01,"4,14,23,27,33,38,43"
2020-07-29,"3,20,25,29,31,34,14"
2020-07-25,"8,11,17,19,21,39,35"
2020-07-22,"3,10,11,27,28,33,35"
2020-07-18,"12,14,25,27,40,44,2"
2020-07-15,"9,14,15,23,27,38,33"
2020-07-11,"1,6,11,15,41,44,20"
2020-07-08,"10,15,22,24,32,42,46"
2020-07-04,"15,20,23,25,39,46,26"
2020-07-01,"3,8,21,34,37,47,16"
2020-06-27,"5,17,18,31,38,47,12"
2020-06-24,"5,6,15,32,39,47,31"
2020-06-20,"5,8,19,40,41,44,17"
2020-06-17,"1,8,11,12,20,26,25"
2020-06-13,"10,12,13,29,30,35,15"
2020-06-10,"6,19,32,35,37,47,16"
2020-06-06,"11,22,27,28,34,36,45"
2020-06-03,"20,23,26,36,43,44,5"
2020-05-30,"3,13,23,29,33,38,15"
2020-05-27,"7,23,30,38,46,47,31"
2020-05-23,"15,24,28,34,40,45,20"
2020-05-20,"5,15,16,19,31,37,12"
2020-05-16,"23,28,33,34,41,45,39"
2020-05-13,"2,9,15,24,31,33,11"
2020-05-09,"13,18,30,41,42,44,37"
2020-05-06,"7,14,20,23,27,46,25"
2020-05-02,"3,10,17,21,37,46,2"
2020-04-29,"8,23,31,39,41,45,36"
2020-04-25,"3,16,20,25,29,33,14"
2020-04-22,"14,24,25,26,29,40,8"
2020-04-18,"4,9,15,27,29,34,17"
2020-04-15,"7,19,33,37,39,42,35"
2020-04-11,"13,16,20,28,37,47,17"
2020-04-08,"10,13,24,32,33,42,5"
2020-04-04,"12,22,23,29,38,44,7"
2020-04-01,"4,10,14,15,29,43,2"
2020-03-28,"2,9,21,34,37,44,3"
2020-03-25,"9,21,27,28,30,41,24"
2020-03-21,"4,5,7,16,43,47,10"
2020-03-18,"4,8,14,15,31,34,13"
2020-03-14,"5,8,11,18,22,36,40"
2020-03-11,"3,10,16,37,38,42,2"
2020-03-07,"12,14,22,26,33,45,18"
2020-03-04,"1,7,10,12,24,34,45"
2020-02-29,"5,11,18,35,40,42,10"
2020-02-26,"2,11,26,31,40,47,18"
2020-02-22,"5,14,27,28,31,44,43"
2020-02-19,"6,10,16,24,25,46,29"
2020-02-15,"1,2,8,33,38,41,20"
2020-02-12,"2,4,10,17,20,41,25"
2020-02-08,"14,20,24,38,41,45,3"
2020-02-05,"13,19,20,33,40,43,23"
2020-02-01,"3,10,12,23,29,45,1"
2020-01-29,"1,3,20,22,39,44,16"
2020-01-25,"11,27,29,34,35,40,46"
2020-01-22,"10,15,19,21,24,37,46"
2020-01-18,"4,13,16,23,33,42,27"
2020-01-15,"15,17,23,31,33,41,45"
2020-01-11,"3,15,20,22,24,45,14"
2020-01-08,"2,5,13,31,42,44,35"
2020-01-04,"2,5,16,17,22,23,36"
2020-01-01,"4,5,23,30,42,47,3"
2019-12-28,"2,14,18,23,34,39,25"
2019-12-25,"12,23,30,36,37,38,3"
2019-12-21,"6,19,22,28,35,40,32"
2019-12-18,"8,9,14,18,23,38,16"
2019-12-14,"11,17,24,29,30,47,38"
2019-12-11,"2,9,12,21,32,46,41"
2019-12-07,"13,16,18,25,38,41,1"
2019-12-04,"14,16,26,27,32,36,17"
2019-11-30,"6,7,19,22,24,46,11"
2019-11-27,"11,28,29,39,42,44,27"
2019-11-23,"4,15,20,21,34,39,19"
2019-11-20,"15,16,20,25,28,37,39"
2019-11-16,"1,2,11,13,14,44,41"
2019-11-13,"2,6,8,9,24,39,36"
2019-11-09,"3,4,15,26,27,47,16"
2019-11-06,"1,12,27,29,30,35,9"
2019-11-02,"3,18,28,30,31,47,7"
2019-10-30,"1,3,7,13,23,25,6"
2019-10-26,"13,20,37,38,39,47,29"
2019-10-23,"13,27,32,36,38,39,43"
2019-10-19,"5,8,18,19,28,34,33"
2019-10-16,"7,14,17,23,30,45,21"
2019-10-12,"1,23,27,33,42,44,31"
2019-10-09,"9,10,21,27,31,35,20"
2019-10-05,"18,21,29,35,41,43,11"
2019-10-02,"6,10,16,23,24,37,45"
2019-09-28,"2,10,22,27,38,39,41"
2019-09-25,"1,13,17,26,30,35,19"
2019-09-21,"6,8,13,15,21,30,17"
2019-09-18,"8,13,17,29,34,37,14"
2019-09-14,"16,21,24,30,31,43,46"
2019-09-11,"2,15,24,33,41,42,23"
2019-09-07,"8,11,12,25,34,39,42"
2019-09-04,"7,22,27,30,41,42,11"
2019-08-31,"13,19,22,24,34,40,47"
2019-08-28,"1,8,10,35,37,42,20"
2019-08-24,"5,6,8,16,29,46,21"
2019-08-21,"10,13,23,24,25,44,12"
2019-08-17,"1,15,16,28,34,45,46"
2019-08-14,"15,18,25,29,39,40,1"
2019-08-10,"6,12,28,33,44,45,40"
2019-08-07,"2,3,7,16,29,37,41"
2019-08-03,"1,3,22,29,31,37,34"
2019-07-31,"5,10,13,19,27,28,37"
2019-07-27,"4,29,30,33,40,42,41"
2019-07-24,"11,14,22,31,32,33,43"
2019-07-20,"9,13,34,35,37,41,43"
2019-07-17,"7,20,28,29,42,46,32"
2019-07-13,"4,8,23,25,34,35,45"
2019-07-10,"4,7,26,33,35,38,15"
2019-07-06,"7,14,17,19,27,31,10"
2019-07-03,"18,25,30,35,41,44,27"
2019-06-29,"7,12,35,40,44,46,22"
2019-06-26,"5,13,16,23,27,35,19"
2019-06-22,"3,4,19,32,39,46,40"
2019-06-19,"7,17,30,31,34,42,18"
2019-06-15,"3,32,34,37,41,43,21"
2019-06-12,"7,14,24,27,35,38,42"
2019-06-08,"9,10,34,37,40,47,7"
2019-06-05,"1,3,12,29,36,44,38"
2019-06-01,"1,2,3,10,30,45,28"
2019-05-29,"3,11,12,24,37,39,40"
2019-05-25,"12,14,17,23,27,46,43"
2019-05-22,"18,23,29,35,40,46,27"
2019-05-18,"1,7,9,18,22,33,17"
2019-05-15,"20,21,25,28,33,39,3"
2019-05-11,"1,7,10,13,39,47,15"
2019-05-08,"8,17,21,28,44,46,2"
2019-05-04,"22,24,26,39,42,47,4"
2019-05-01,"2,17,18,35,38,43,12"
2019-04-27,"10,12,21,33,35,39,13"
2019-04-24,"9,12,26,29,34,40,28"
2019-04-20,"7,13,14,15,16,33,20"
2019-04-17,"7,30,35,37,41,42,14"
2019-04-13,"6,7,17,24,27,44,35"
2019-04-10,"3,9,17,29,42,43,16"
2019-04-06,"4,9,10,34,35,46,11"
2019-04-03,"2,11,22,23,29,45,44"
2019-03-30,"1,10,14,21,22,39,40"
2019-03-27,"14,17,26,31,34,43,47"
2019-03-23,"9,10,23,29,42,47,12"
2019-03-20,"1,18,19,25,26,42,9"
2019-03-16,"7,15,23,37,41,43,3"
2019-03-13,"7,10,18,45,46,47,39"
2019-03-09,"2,3,22,25,31,34,37"
2019-03-06,"2,6,13,21,41,46,27"
2019-03-02,"1,3,7,27,31,44,19"
2019-02-27,"14,15,16,19,38,46,6"
2019-02-23,"3,19,21,29,31,35,22"
2019-02-20,"1,9,10,16,19,30,12"
2019-02-16,"3,6,17,28,35,42,37"
2019-02-13,"3,9,11,27,30,47,42"
2019-02-09,"4,9,12,14,17,20,18"
2019-02-06,"3,4,8,10,11,46,12"
2019-02-02,"3,5,16,30,46,47,37"
2019-01-30,"4,6,16,34,38,39,42"
2019-01-26,"6,12,13,23,31,34,15"
2019-01-23,"14,26,36,37,40,45,38"
2019-01-19,"7,33,34,37,45,46,42"
2019-01-16,"6,9,11,27,34,42,14"
2019-01-12,"19,30,32,33,35,46,3"
2019-01-09,"15,16,18,23,39,45,22"
2019-01-05,"7,10,18,26,37,40,4"
2019-01-02,"2,14,26,33,37,47,38"
2018-12-29,"7,13,18,26,27,28,9"
2018-12-26,"1,2,30,41,42,43,25"
2018-12-22,"5,20,21,24,34,45,22"
2018-12-19,"1,5,19,24,27,42,44"
2018-12-15,"2,9,23,34,35,38,41"
2018-12-12,"1,19,20,29,31,44,11"
